textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2020-12/31/2020), Quarter 3 (07/01/2020-09/30/2020), Quarter 2 (04/01/2020-06/30/2020), Quarter 1 (01/01/2020-03/31/2020)",All,All,All,7/28/2023 2:40:52 PM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1
Period Ending  6/30/2020,Personal Residential - Mobile Homeowners,"197,611","3,815","2,101",0,0,"12,884","6,437","17,391,220,103","221,010,815","191,174","497,185,669","218,780,357","2,230,458",14,0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Personal Residential - Mobile Homeowners - WIND ONLY,"2,517",35,13,0,0,49,0,"114,691,740","3,247,776","2,517",0,"3,247,776",0,0,0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Personal Residential - Tenants,"767,573","92,096","4,738",0,15,"119,725","6,256","17,028,504,865","154,749,262","761,317","471,999,708","152,770,694","1,978,568",281,0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Personal Residential - Tenants - WIND ONLY,383,11,3,0,0,15,0,"46,351,130","257,213",383,0,"257,213",0,1,0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  9/30/2020,Commercial Residential - (Apartment Buildings) - WIND ONLY,863,17,12,0,0,13,0,"864,334,601","7,072,432",863,0,"7,072,432",0,0,0,,,,,,,,,,,"3,652,419","223,644","54,735",1,588,"359,544","179,203","1,118,304,444,035","6,371,844,506","3,473,216","104,515,079,114","6,100,212,985","271,631,521","81,941","81,972",,,,,,,,,,
Period Ending  9/30/2020,Commercial Residential - (Condo Associations Only) - WIND ONLY,"1,496",8,14,0,0,29,0,"4,791,173,261","26,075,230","1,496",0,"26,075,230",0,0,0,,,,,,,,,,,"3,652,419","223,644","54,735",1,588,"359,544","179,203","1,118,304,444,035","6,371,844,506","3,473,216","104,515,079,114","6,100,212,985","271,631,521","81,941","81,972",,,,,,,,,,
Period Ending  9/30/2020,Commercial Residential - (Homeowners Association) - WIND ONLY,176,0,6,0,0,4,0,"398,558,854","1,995,254",176,0,"1,995,254",0,0,0,,,,,,,,,,,"3,652,419","223,644","54,735",1,588,"359,544","179,203","1,118,304,444,035","6,371,844,506","3,473,216","104,515,079,114","6,100,212,985","271,631,521","81,941","81,972",,,,,,,,,,
Period Ending  9/30/2020,Commercial Residential - Allied Lines (Condo Associations Only),914,0,23,0,0,44,0,"3,880,273,765","187,492,556",914,0,"187,492,556",0,0,0,,,,,,,,,,,"3,652,419","223,644","54,735",1,588,"359,544","179,203","1,118,304,444,035","6,371,844,506","3,473,216","104,515,079,114","6,100,212,985","271,631,521","81,941","81,972",,,,,,,,,,
Period Ending  9/30/2020,Commercial Residential - Allied Lines (Excl Condo Associations),177,1,88,0,0,91,3,"638,599,058","3,649,798",174,"616,874","3,645,790","4,008",2,0,,,,,,,,,,,"3,652,419","223,644","54,735",1,588,"359,544","179,203","1,118,304,444,035","6,371,844,506","3,473,216","104,515,079,114","6,100,212,985","271,631,521","81,941","81,972",,,,,,,,,,
Period Ending  9/30/2020,Commercial Residential - CMP (Condo Associations Only),"1,408",61,18,0,0,56,455,"21,902,125,932","92,856,929",953,"2,239,592,576","89,720,499","3,136,430",5,0,,,,,,,,,,,"3,652,419","223,644","54,735",1,588,"359,544","179,203","1,118,304,444,035","6,371,844,506","3,473,216","104,515,079,114","6,100,212,985","271,631,521","81,941","81,972",,,,,,,,,,
