textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2016-12/31/2016), Quarter 3 (07/01/2016-09/30/2016), Quarter 2 (04/01/2016-06/30/2016), Quarter 1 (01/01/2016-03/31/2016)",All,All,All,8/1/2023 9:26:51 AM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1
Period Ending  6/30/2016,Personal Residential - Allied Lines - WIND ONLY DWELLINGS,"18,712",606,501,0,0,602,0,"6,382,740,654","41,602,133","18,712",0,"41,602,133",0,"1,833","1,693",,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Personal Residential - Condominium Unit Owners,"804,418","28,117","15,018",0,12,"49,110","97,872","79,873,224,423","744,409,864","706,546","18,669,801,748","671,232,638","73,177,226","2,164","2,496",,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Personal Residential - Condominium Unit Owners - WIND ONLY,"48,500","2,169","1,930",0,0,"1,684",0,"7,146,458,510","45,698,632","48,500",0,"45,698,632",0,"1,409","1,284",,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Personal Residential - Dwelling/Fire,"751,180","32,259","13,441",1,21,"40,844","48,697","156,425,009,192","929,970,314","702,483","13,184,584,318","889,174,846","40,795,467","2,621","3,602",,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Personal Residential - Dwelling/Fire - Mobile Homeowners,"81,583","2,195","2,989",0,0,"3,423","5,948","3,527,737,620","43,100,702","75,635","251,886,589","41,801,646","1,299,056",0,33,,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY,416,11,19,0,0,26,0,"12,643,660","329,423",416,0,"329,423",0,0,0,,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Personal Residential - Farmowners,"2,645",53,41,0,0,97,9,"1,399,460,948","10,229,892","2,636","8,872,905","10,173,970","55,922",35,35,,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied,"3,324,343","104,422","49,726",3,106,"178,669","145,261","1,473,782,577,967","6,730,704,601","3,179,082","110,655,594,310","6,488,560,684","242,143,917","3,173","5,504",,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY,"117,238","4,193","3,160",0,0,"2,153",0,"52,717,198,448","314,093,818","117,238",0,"314,093,818",0,"3,784","3,591",,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Personal Residential - Mobile Homeowners,"257,241","7,765","4,342",6,0,"12,959","13,148","21,871,589,865","253,711,478","244,093","910,785,579","249,348,563","4,362,915",338,414,,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
